condition,type,model,diagnosis,n,mean,se,lower,upper,prob,lower_ci,upper_ci
SSc,informal,claude-3.5-sonnet,3,998,0.843687375,0.011501122375031656,0.821145175,0.866229575,0.843687375,0.0225422,0.0225422
JDM,formal,chatgpt-3.5,5,248,1,0,1,1,1,0,0
JDM,formal,chatgpt-4o,5,248,1,0,1,1,1,0,0
JDM,formal,claude-3-opus,5,248,1,0,1,1,1,0,0
JDM,formal,claude-3.5-sonnet,5,248,1,0,1,1,1,0,0
JDM,informal,chatgpt-3.5,5,998,0.8637274549098196,0.010865381,0.8424313078076324,0.8850236020120068,0.8637274549098196,0.021296147,0.021296147
JDM,informal,chatgpt-4o,5,998,0.96993988,0.005407795,0.9593406023974802,0.9805391571215578,0.96993988,0.010599277,0.010599277
JDM,informal,claude-3-opus,5,998,0.9248496993987976,0.008349363,0.9084849472121389,0.9412144515854562,0.9248496993987976,0.016364752,0.016364752
JDM,informal,claude-3.5-sonnet,5,998,0.9809619238476954,0.004328028,0.9724789896674183,0.9894448580279726,0.9809619238476954,0.008482934,0.008482934
MCTD,formal,chatgpt-3.5,5,248,0.2217741935483871,0.026433814730987746,0.1699639166756511,0.2735844704211231,0.2217741935483871,0.051810277,0.051810277
MCTD,formal,chatgpt-4o,5,248,1,0,1,1,1,0,0
MCTD,formal,claude-3-opus,5,248,0.9717741935483871,0.010537980335995024,0.9511197520898369,0.9924286350069373,0.9717741935483871,0.020654441,0.020654441
MCTD,formal,claude-3.5-sonnet,5,248,0.9959677419354839,0.004032258,0.9880645161290322,1.0038709677419355,0.9959677419354839,0.007903226,0.007903226
MCTD,informal,chatgpt-3.5,5,998,0.038076152,0.00606107,0.026196455251535737,0.049955849357682706,0.038076152,0.011879697,0.011879697
MCTD,informal,chatgpt-4o,5,998,0.8867735470941884,0.010035354917147625,0.8671042514565791,0.9064428427317978,0.8867735470941884,0.019669296,0.019669296
MCTD,informal,claude-3-opus,5,998,0.6723446893787575,0.014864729685021718,0.6432098191961149,0.7014795595614001,0.6723446893787575,0.02913487,0.02913487
MCTD,informal,claude-3.5-sonnet,5,998,0.8106212424849699,0.012408721643892263,0.7863001480629411,0.8349423369069987,0.8106212424849699,0.024321094,0.024321094
SLE,formal,chatgpt-3.5,5,248,0.9838709677419355,0.008015392,0.9681607999789046,0.9995811355049664,0.9838709677419355,0.015710168,0.015710168
SLE,formal,chatgpt-4o,5,248,0.9798387096774194,0.008943098,0.9623102379340521,0.9973671814207866,0.9798387096774194,0.017528472,0.017528472
SLE,formal,claude-3-opus,5,248,0.9959677419354839,0.004032258,0.9880645161290322,1.0038709677419355,0.9959677419354839,0.007903226,0.007903226
SLE,formal,claude-3.5-sonnet,5,248,0.9879032258064516,0.006955743,0.9742699700060549,1.0015364816068484,0.9879032258064516,0.013633256,0.013633256
SLE,informal,chatgpt-3.5,5,998,0.9539078156312625,0.006640783,0.9408918815355853,0.9669237497269396,0.9539078156312625,0.013015934,0.013015934
SLE,informal,chatgpt-4o,5,998,0.9779559118236473,0.004650055,0.968841803,0.9870700204447296,0.9779559118236473,0.009114109,0.009114109
SLE,informal,claude-3-opus,5,998,0.9679358717434869,0.005579373,0.9570002997699683,0.9788714437170056,0.9679358717434869,0.010935572,0.010935572
SLE,informal,claude-3.5-sonnet,5,998,0.9839679358717435,0.003977751,0.9761715435314146,0.9917643282120724,0.9839679358717435,0.007796392,0.007796392
SSc,formal,chatgpt-3.5,5,248,0.9435483870967742,0.014684926903231064,0.9147659303664414,0.9723308438271071,0.9435483870967742,0.028782457,0.028782457
SSc,formal,chatgpt-4o,5,248,0.9475806451612904,0.014180954051178364,0.9197859752209808,0.9753753151015999,0.9475806451612904,0.02779467,0.02779467
SSc,formal,claude-3-opus,5,248,0.9637096774193549,0.011899262568182538,0.9403871227857171,0.9870322320529926,0.9637096774193549,0.023322555,0.023322555
SSc,formal,claude-3.5-sonnet,5,248,0.9596774193548387,0.012516656,0.9351447733374587,0.9842100653722188,0.9596774193548387,0.024532646,0.024532646
SSc,informal,chatgpt-3.5,5,998,0.7745490981963928,0.013234358216087498,0.7486097560928613,0.8004884402999244,0.7745490981963928,0.025939342,0.025939342
SSc,informal,chatgpt-4o,5,998,0.9228456913827655,0.008450785,0.9062821526124631,0.9394092301530679,0.9228456913827655,0.016563539,0.016563539
SSc,informal,claude-3-opus,5,998,0.7535070140280561,0.013648922047464124,0.7267551268150264,0.7802589012410858,0.7535070140280561,0.026751887,0.026751887
SSc,informal,claude-3.5-sonnet,5,998,0.8937875751503006,0.00975792,0.8746620525608434,0.9129130977397578,0.8937875751503006,0.019125523,0.019125523
